2,S Aravind,"[0.32232242625, 0.32232242625]"
2,IC Pandey,"[0.3323916825, 0.3323916825]"
2,JP Faulkner,"[0.2842505722857143, 0.2842505722857143]"
2,PP Chawla,"[0.34969232675, 0.34969232675]"
2,YK Pathan,"[0.2845772135, 0.2845772135]"
2,TA Boult,"[0.29870906614285714, 0.29870906614285714]"
2,Shakib Al Hasan,"[0.34088727900000004, 0.34088727900000004]"
2,AD Russell,"[0.3161394407142857, 0.3161394407142857]"
2,UT Yadav,"[0.31578336175, 0.31578336175]"
2,MJ McClenaghan,"[0.3499564546666667, 0.3499564546666667]"
2,JJ Bumrah,"[0.27946366699999997, 0.27946366699999997]"
2,CH Morris,"[0.3410878841666667, 0.3410878841666667]"
2,A Mishra,"[0.30013012971428576, 0.30013012971428576]"
2,Z Khan,"[0.337397124, 0.337397124]"
2,PJ Cummins,"[0.30071718528571434, 0.30071718528571434]"
2,VR Aaron,"[0.2958536995, 0.2958536995]"
2,MM Sharma,"[0.3273239826666667, 0.3273239826666667]"
2,R Tewatia,"[0.289561111, 0.289561111]"
2,Sandeep Sharma,"[0.3213439938, 0.3213439938]"
2,AR Patel,"[0.33014630733333333, 0.33014630733333333]"
3,KS Williamson,"[0.138204044, 0.138204044]"
3,S Kaul,"[0.18705858150000002, 0.18705858150000002]"
3,BB Sran,"[0.15112253766666667, 0.15112253766666667]"
3,A Choudhary,"[0.11884833, 0.11884833]"
3,Iqbal Abdulla,"[0.17675441549999998, 0.17675441549999998]"
3,TM Head,"[0.18481287366666665, 0.18481287366666665]"
3,T Shamsi,"[0.1695800475, 0.1695800475]"
3,TS Mills,"[0.17885491966666667, 0.17885491966666667]"
3,B Stanlake,"[0.15732032225, 0.15732032225]"
3,AB Dinda,"[0.157665284, 0.157665284]"
3,JD Unadkat,"[0.169455204, 0.169455204]"
3,MM Patel,"[0.17945439100000002, 0.17945439100000002]"
3,Basil Thampi,"[0.102838141, 0.102838141]"
3,R Dhawan,"[0.18686098325, 0.18686098325]"
3,HH Pandya,"[0.12079337620000001, 0.12079337620000001]"
3,R Sharma,"[0.136285283, 0.136285283]"
3,J Suchith,"[0.152746397, 0.152746397]"
3,TG Southee,"[0.19614605014285713, 0.19614605014285713]"
3,DAS Gunaratne,"[0.122540581, 0.122540581]"
3,AD Mathews,"[0.15538844016666667, 0.15538844016666667]"
3,Mohammed Shami,"[0.1548381064, 0.1548381064]"
3,MN Samuels,"[0.158454326, 0.158454326]"
3,I Sharma,"[0.12032972875, 0.12032972875]"
3,P Sahu,"[0.153692444, 0.153692444]"
3,DJG Sammy,"[0.18499096257142855, 0.18499096257142855]"
3,GJ Maxwell,"[0.14251202714285713, 0.14251202714285713]"
3,T Natarajan,"[0.162360374, 0.162360374]"
4,MC Henriques,"[0.2763316493333334, 0.2763316493333334]"
4,BCJ Cutting,"[0.22047180759999999, 0.22047180759999999]"
4,DJ Hooda,"[0.26221912633333333, 0.26221912633333333]"
4,Mohammad Nabi,"[0.2308598146666667, 0.2308598146666667]"
4,SR Watson,"[0.27672883842857143, 0.27672883842857143]"
4,STR Binny,"[0.25842698583333334, 0.25842698583333334]"
4,P Negi,"[0.26523511580000003, 0.26523511580000003]"
4,R Bhatia,"[0.2187772605, 0.2187772605]"
4,RD Chahar,"[0.22672487300000002, 0.22672487300000002]"
