Bowler,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
JO Holder,1,3,34,2,11.3,17,9,0,Feb-34,0.058823529,67.6132522,67.6132522,72.87641009,0.428684765
IS Sodhi,2,5,51,2,10.2,25.5,15,0,16-Jan,0.039215686,45.07550146,45.07550146,50.33865936,0.296109761
Kamran Shazad,3,8.4,77,2,8.9,38.5,26,0,19-Feb,0.025974026,29.85520227,29.85520227,35.11836016,0.206578589
MR Swart,5,10,98,2,9.8,49,30,0,19-Jan,0.020408163,23.45765893,23.45765893,28.72081682,0.168945981
Dawlat Zadran,3,8,57,2,7.1,28.5,24,0,21-Jan,0.035087719,40.33071184,40.33071184,45.59386973,0.268199234
Sharif Asadullah,1,3,21,2,7,10.5,9,0,21-Feb,0.095238095,109.469075,0,5.263157895,0.030959752
AM Guruge,2,8,57,2,7.1,28.5,24,0,18-Feb,0.035087719,40.33071184,40.33071184,45.59386973,0.268199234
Mohammad Hafeez,6,14,98,2,7,49,42,0,15-Jan,0.020408163,23.45765893,23.45765893,28.72081682,0.168945981
P Khadka,4,8.5,47,2,5.3,23.5,26.5,0,3-Jan,0.042553191,48.91171436,48.91171436,54.17487225,0.318675719
Anas Khan,1,4,4,2,1,2,12,0,4-Feb,0.5,574.7126437,0,5.263157895,0.030959752
Farhad Reza,5,10,86,2,8.6,43,30,0,2-Jan,0.023255814,26.73082064,26.73082064,31.99397853,0.188199874
JE Root,2,3,29,2,9.7,14.5,9,0,13-Jan,0.068965517,79.27070947,79.27070947,84.53386737,0.497258043
AP Devcich,2,6,35,2,5.8,17.5,18,0,16-Feb,0.057142857,65.68144499,65.68144499,70.94460289,0.417321193
PR Stirling,5,12,78,2,6.5,39,36,0,12-Feb,0.025641026,29.47244327,29.47244327,34.73560116,0.204327066
AR McBrine,2,5,50,2,10,25,15,0,26-Feb,0.04,45.97701149,45.97701149,51.24016939,0.301412761
Sagar Pun,4,10.3,50,2,4.8,25,31.5,0,11-Feb,0.04,45.97701149,45.97701149,51.24016939,0.301412761
Hamza Hotak,1,4,32,2,8,16,12,0,Feb-32,0.0625,71.83908046,71.83908046,77.10223835,0.453542579
LJ Wright,2,3,38,2,12.7,19,9,0,18-Jan,0.052631579,60.49606776,60.49606776,65.75922565,0.386818974
NO Miller,2,6,50,2,8.3,25,18,0,26-Feb,0.04,45.97701149,45.97701149,51.24016939,0.301412761
Sikandar Raza,1,3,15,2,5,7.5,9,0,15-Feb,0.133333333,153.256705,0,5.263157895,0.030959752
EHSN Silva,2,7,58,2,8.3,29,21,0,20-Jan,0.034482759,39.63535474,39.63535474,44.89851263,0.264108898
Mohammad Irfan,2,6,47,2,7.8,23.5,18,0,27-Feb,0.042553191,48.91171436,48.91171436,54.17487225,0.318675719
P Utseya,3,12,80,2,6.7,40,36,0,24-Feb,0.025,28.73563218,28.73563218,33.99879008,0.199992883
GB Hogg,3,8,65,2,8.1,32.5,24,0,Feb-31,0.030769231,35.36693192,35.36693192,40.63008981,0.239000528
M Morkel,2,7,81,2,11.6,40.5,21,0,Feb-31,0.024691358,28.38087129,28.38087129,33.64402919,0.197906054
PM Seelaar,6,11,76,2,6.9,38,33,0,9-Feb,0.026315789,30.24803388,30.24803388,35.51119177,0.208889363
A Bhattarai,1,3,12,1,4,12,18,0,12-Jan,0.083333333,95.78544061,95.78544061,98.41701956,0.578923644
KS Williamson,3,4,41,1,10.2,41,24,0,11-Jan,0.024390244,28.03476311,28.03476311,30.66634205,0.180390247
Wahab Riaz,1,2,15,1,7.5,15,12,0,15-Jan,0.066666667,76.62835249,76.62835249,79.25993144,0.466234891
DT Christian,4,7,70,1,10,70,42,0,14-Jan,0.014285714,16.42036125,16.42036125,19.0519402,0.112070236
PW Borren,4,8.5,58,1,6.6,58,53,0,17-Jan,0.017241379,19.81767737,19.81767737,22.44925632,0.132054449
KW Richardson,2,6,41,1,6.8,41,36,0,13-Jan,0.024390244,28.03476311,28.03476311,30.66634205,0.180390247
N Mushangwe,2,6,47,1,7.8,47,36,0,24-Jan,0.021276596,24.45585718,24.45585718,27.08743613,0.15933786
R McLaren,2,4,43,1,10.8,43,24,0,27-Jan,0.023255814,26.73082064,26.73082064,29.36239958,0.172719998
Samiullah Shenwari,3,9,71,1,7.9,71,54,0,14-Jan,0.014084507,16.18908855,16.18908855,18.8206675,0.110709809
LL Tsotsobe,5,14.5,146,1,9.8,146,89,0,Jan-46,0.006849315,7.872775941,7.872775941,10.50435489,0.061790323
SK Raina,5,13,94,1,7.2,94,78,0,24-Jan,0.010638298,12.22792859,12.22792859,14.85950754,0.087408868
MC Sorensen,4,11,78,1,7.1,78,66,0,23-Jan,0.012820513,14.73622163,14.73622163,17.36780058,0.102163533
Najeeb Amar,1,3,29,1,9.7,29,18,0,29-Jan,0.034482759,39.63535474,39.63535474,42.26693368,0.248629022
TM Dilshan,1,2,23,1,11.5,23,12,0,23-Jan,0.043478261,49.97501249,49.97501249,52.60659144,0.309450538
DL Vettori,1,3,28,1,9.3,28,18,0,28-Jan,0.035714286,41.05090312,41.05090312,43.68248207,0.256955777
K Rabada,2,6,52,1,8.7,52,36,0,25-Jan,0.019230769,22.10433245,22.10433245,24.7359114,0.145505361
M de Lange,1,4,34,1,8.5,34,24,0,Jan-34,0.029411765,33.8066261,33.8066261,36.43820505,0.214342383
SA Abbott,3,6,47,1,7.8,47,36,0,17-Jan,0.021276596,24.45585718,24.45585718,27.08743613,0.15933786
MJ Henry,2,6,40,1,6.7,40,36,0,9-Jan,0.025,28.73563218,28.73563218,31.36721113,0.184513007
Aizaz Khan,2,6,57,1,9.5,57,36,0,Jan-39,0.01754386,20.16535592,20.16535592,22.79693487,0.134099617
KA Pollard,2,5,33,1,6.6,33,30,0,19-Jan,0.03030303,34.83106931,34.83106931,37.46264826,0.220368519
Sabbir Rahman,3,3,16,1,5.3,16,18,0,3-Jan,0.0625,71.83908046,71.83908046,74.47065941,0.438062702
KV Sharma,1,4,28,1,7,28,24,0,28-Jan,0.035714286,41.05090312,41.05090312,43.68248207,0.256955777
MM Ali,5,8,72,1,9,72,48,0,31-Jan,0.013888889,15.9642401,15.9642401,18.59581905,0.109387171
ST Finn,1,4,28,1,7,28,24,0,28-Jan,0.035714286,41.05090312,41.05090312,43.68248207,0.256955777
BJ Hodge,2,3,23,1,7.7,23,18,0,13-Jan,0.043478261,49.97501249,49.97501249,52.60659144,0.309450538
JA Morkel,6,12,118,1,9.8,118,72,0,13-Jan,0.008474576,9.740892266,9.740892266,12.37247121,0.072779242
